Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
Retarget_RemoveSinglePose_Body,142,Do you want to remove the selected Pose [ {0} ]?,포즈 [ {0} ]를 삭제하시겠습니까?,Voulez-vous supprimer la pose [ {0} ] sélectionnée?,Möchten Sie die ausgewählte Pose [ {0} ] entfernen?,¿Desea eliminar la Pose [ {0} ] seleccionada?,Vuoi rimuovere la posa selezionata [{0}]?,Vil du fjerne den valgte Pose [ {0} ]?,選択したポーズ[ {0} ]を削除しますか？,您是否要刪除選定的姿勢 [ {0} ]?,您是否要删除选定的姿势 [ {0} ]?,Czy chcesz usunąć wybraną pozę [{0}]?,
Retarget_SinglePoseImportFailed_Title,143,Pose Import Failed,포즈 가져오기 실패,L'importation de la pose a échoué,Pose-Import fehlgeschlagen,La importación de la pose falló,Importazione Pose non riuscita,Pose Import mislykkedes,ポーズインポートに失敗しました,姿勢導入失敗,姿势导入失败,Importowanie pozy nie powiodło się,
Retarget_SinglePoseImportFailed_Body_NoFile,144,The pose file does not exist.,포즈 파일이 존재하지 않습니다.,Le fichier de pose n'existe pas.,Die Pose-Datei existiert nicht.,El archivo de pose no existe.,Il file di posa non esiste.,Pose-filen findes ikke.,ポーズファイルが存在しません。,姿勢文件不存在。,姿势文件不存在。,Plik pozy nie istnieje.,
Retarget_SinglePoseImportFailed_Body_Error,145,An error occurred while importing the pose file.,가져오기 도중 에러가 발생했습니다.,Une erreur s'est produite lors de l'importation du fichier de pose.,Beim Importieren der Pose-Datei ist ein Fehler aufgetreten.,Se produjo un error al importar el archivo de pose.,Si è verificato un errore durante l'importazione del file di posa.,Der opstod en fejl under import af posisfilen.,ポーズファイルのインポート中にエラーが発生しました。,導入姿勢文件時發生錯誤。,导入姿势文件时发生错误。,Wystąpił błąd podczas importowania pliku ułożenia.,
ControlParamPreset_Regist_Title,146,Register as a Preset,프리셋으로 등록,Regist à prérégler,Voreingestellt,Regist para preestablecer,Registra per preimpostare,Registrér til forudindstillet,プリセットとして登録,註冊預設,注册预设,Zarejestruj się do ustawień wstępnych,
ControlParamPreset_Regist_Body,147,Do you want to register [ {0} ] as a preset?,선택된 [ {0} ] 파라미터를 프리셋으로 등록하시겠습니까?,Voulez-vous enregistrer [ {0} ] en tant que préréglage?,Möchten Sie [ {0} ] als Voreinstellung registrieren?,¿Desea registrar [ {0} ] como un ajuste preestablecido?,Vuoi salvare [ {0} ] come predefinito?,Vil du registrere [ {0} ] som en forudindstilling?,[ {0} ]をプリセットとして登録しますか？,您是否要將[ {0} ]註冊為預設？,您是否要将[ {0} ]注册为预设？,Czy chcesz zarejestrować [ {0} ] jako ustawienie wstępne?,
ControlParamPreset_Regist_Okay,148,Register,등록,Register,Registrierung,Register,Register,Register,登録,註冊,注册,Zarejestrować,
ControlParamPreset_Remove_Title,149,Remove Preset,프리셋 삭제,Supprimer le paramètre prédéfini,Voreinstellung entfernen,Eliminar el preajuste,Elimina il preset,Fjern forudindstillet,プリセットを削除,刪除預設,删除预设,Usuń ustawienie wstępne,
ControlParamPreset_Remove_Body,150,Do you want to remove the selected preset [ {0} ]?,선택한 프리셋 [ {0} ]을 삭제하시겠습니까?,Voulez-vous supprimer le préréglage sélectionné [ {0} ]?,Möchten Sie die ausgewählte Voreinstellung [ {0} ] entfernen?,¿Desea eliminar el ajuste preestablecido seleccionado [ {0} ]?,Vuoi rimuovere il preset selezionato [ {0} ]?,Vil du fjerne den valgte forudindstillede [ {0} ]?,選択したプリセット[ {0} ]を削除しますか？,是否要刪除所選的預設[ {0} ]？,是否要删除所选的预设[ {0} ]？,Czy chcesz usunąć wybrane ustawienie [ {0} ]?,
ControlParamPreset_NameOverwrite_Title,151,Applying Control Parameter,컨트롤 파라미터 적용 안내,Application du paramètre de contrôle,Anwenden von Steuerparametern,Aplicando el parámetro de control,Applicazione del parametro di controllo,Anvendelse af kontrolparameter,制御パラメータの適用,應用控制參數,应用控制参数,Stosowanie parametru kontrolnego,
ControlParamPreset_NameOverwrite_Body,152,A Control Parameter with the same name exists. Only properties other than names are applied.,동일한 이름의 컨트롤 파라미터가 존재합니다. 이름을 제외한 나머지 프로퍼티들만 적용됩니다.,Un paramètre de contrôle portant le même nom existe. Seules les propriétés autres que les noms sont appliquées.,Ein Steuerparameter mit demselben Namen existiert. Nur andere Eigenschaften als Namen werden angewendet.,Existe un parámetro de control con el mismo nombre. Solo se aplican las propiedades que no sean nombres.,Esiste un parametro di controllo con lo stesso nome. Vengono applicate solo proprietà diverse dai nomi.,Der findes en kontrolparameter med samme navn. Kun andre egenskaber end navne anvendes.,同じ名前の制御パラメータが存在します。名前以外のプロパティのみが適用されます。,存在具有相同名稱的控制參數。只有名稱以外的屬性被應用。,存在具有相同名称的控制参数。只有名称以外的属性被应用。,Istnieje parametr kontrolny o tej samej nazwie. Używane są tylko właściwości inne niż nazwy.,
OptPortrait_LoadError_Title,153,Optimized Portrait Open Error,최적화된 포트레이트 로드 에러,Erreur portrait optimisée ouverte,Optimierter Portrait Open Error,Optimizado retrato abierto error,Errore di apertura ritratto ottimizzato,Optimeret portræt åben fejl,最適化されたポートレートオープンエラー,優化肖像打開錯誤,优化肖像打开错误,Zoptymalizowany błąd otwierania portretu,
OptPortrait_LoadError_Body,154,An Optimized Portrait can not be opened.,최적화된 포트레이트는 편집이 불가능하여 열 수 없습니다.,Un portrait optimisé ne peut pas être ouvert.,Ein optimiertes Porträt kann nicht geöffnet werden.,Un retrato optimizado no se puede abrir.,Un ritratto ottimizzato non può essere aperto.,Et optimeret portræt kan ikke åbnes.,最適化されたポートレートを開くことはできません。,優化的人像無法打開。,优化的人像无法打开。,Zoptymalizowany portret nie może zostać otwarty.,
OptBakeError_Title,155,Optimized Baking,최적화된 베이킹,Exportation optimisée,Optimiertes Backen,Exportación optimizada,Esportazione ottimizzata,Optimeret Bagning,最適化されたベーキング,優化的烘烤,优化的烘烤,Zoptymalizowane pieczenie,
OptBakeError_NotOptTarget_Body,156,The selected Portrait is not optimized.,선택한 포트레이트는 최적화 대상이 아닙니다.,Le portrait sélectionné n'est pas optimisé.,Das ausgewählte Portrait ist nicht optimiert.,El retrato seleccionado no está optimizado.,Il ritratto selezionato non è ottimizzato.,Den valgte Portræt er ikke optimeret.,選択したポートレイトは最適化されていません。,所選的肖像未優化。,所选的肖像未优化。,Wybrany portret nie jest zoptymalizowany.,
OptBakeError_SrcMatchError_Body,157,The selected target does not seem to be baked from this portrait. Do you want to ignore and select it?,선택한 대상이 이 포트레이트로부터 베이킹된 것 같지 않습니다. 무시하고 선택하시겠습니까?,La cible sélectionnée ne semble pas être exportée de ce portrait. Voulez-vous l'ignorer et le sélectionner?,Das ausgewählte Ziel scheint von diesem Porträt nicht gebacken worden zu sein. Möchtest du es ignorieren und auswählen?,El objetivo seleccionado no parece exportarse desde este retrato. ¿Quieres ignorarlo y seleccionarlo?,Il bersaglio selezionato non sembra essere cotto da questo ritratto. Vuoi ignorarlo e selezionarlo?,Det valgte mål synes ikke at være bagt fra dette portræt. Vil du ignorere og vælge den?,選択したターゲットはこのポートレートから焼かれていないようです。それを無視して選択しますか？,所選的目標似乎不是從這個肖像烘烤。你想忽略並選擇它嗎?,所选的目标似乎不是从这个肖像烘烤。你想忽略并选择它吗?,Wybrany cel nie wydaje się być wypalony z tego portretu. Czy chcesz go zignorować i wybrać?,
DLG_SelectTimelineTypeToAdd,158,Select Timeline Type to Add,추가할 타임라인 종류를 선택하세요,Choisissez type de Timeline,Wählen Sie den Zeitachsen-Typ,Seleccione un tipo,Seleziona un tipo di Timeline,Vælg Tidslinjetype for at tilføje,追加するタイムラインタイプを選択,選擇要添加的時間線類型,选择要添加的时间线类型,Wybierz Typ osi czasu[c] aby dodać,
DLG_TimelineTypes,159,Timeline Types,타임라인 종류,Types de Timeline,Zeitachsen-Typen,Tipos de Timeline,Tipi di Timeline,Tidslinjetyper,タイムラインの種類,時間線類型,时间线类型,Rodzaje osi czasu,
DLG_Select,160,Select,선택,Choisir,Wählen,Seleccionar,Selezionare,Vælg,選択,選擇,选择,Wybierz,
DLG_Close,161,Close,닫기,Fermer,Schließen,Cerca,Vicino,Tæt,閉じる,關,关,Zamknąć,
DLG_ControlParameters,162,Control Parameters,컨트롤 파라미터,Paramètres de contrôle,Regelparameter,Parámetros de control,Parametri di controllo,Kontrolparametre,制御パラメータ,控制參數,控制参数,Parametry kontrolne,
DLG_Modifier,163,Modifier,모디파이어,Modificateur,Modifikator,Modificador,Modificatore,Modifier,モディファイア,修改,修改,Modyfikator,
DLG_Mesh,164,Mesh,메시,Maillage,Netz,Malla,Maglia,Mesh,メッシュ,網格劃分,网格划分,Siatka,
DLG_Meshes,165,Meshes,메시,Maillages,Netze,Mallas,Maglie,Masker,メッシュ,網格劃分,网格划分,Siatki,
DLG_MeshGroup,166,Mesh Group,메시 그룹,Groupe de maillage,Netzgruppe,Grupo de malla,Gruppo di maglie,Mesh Gruppe,メッシュグループ,網格劃分組,网格划分组,Grupa siatki,
DLG_MeshGroups,167,Mesh Groups,메시 그룹,Groupes de maillage,Netzgruppen,Grupos de malla,Gruppi di maglie,Mesh Grupper,メッシュグループ,網格劃分組,网格划分组,Grupy siatki,
DLG_Add,168,Add,추가,Ajouter,Hinzufügen,Añadir,Inserisci,Tilføje,追加,加,加,Dodaj,
DLG_Cancel,169,Cancel,취소,Annuler,Stornieren,Cancelar,Annulla,Afbestille,キャンセル,取消,取消,Anuluj,
DLG_SelectModifier,170,Select Modifier,모디파이어를 선택하세요,Choisissez modificateur,Wählen Modifikator,Seleccionar modificador,Seleziona Modificatore,Vælg modifikator,モディファイヤを選択,選擇修改器,选择修改器,Wybierz modyfikator,
DLG_Modifiers,171,Modifiers,모디파이어,Modificateurs,Modifikatoren,Modificadores,Modificatori,Modifiers,モディファイヤ,修飾符,修饰符,Modyfikatory,
DLG_ModInfo_NotSelectableInDemo,172,It is not selectable[]in the [Demo Version],데모 버전에서는[]선택할 수 없습니다.,Il n'est pas sélectionnable[]dans la [Démonstration],Es ist nicht wählbar[]in der [Demo Version],No es seleccionable[]en la [Versión de Demo],Non è selezionabile[]nella [Versione demo],Det kan ikke vælges[]i [Demo Version],デモ版では[c][]を選択することができません。,在[Demo版本]中不能選擇,在[Demo版本]中不能选择,Nie można go wybrać[] w [Wersja demo],
DLG_ModInfo_Morph,173,Changing shape freely[]according to [Controller],[컨트롤러]로 모양을[]자유롭게 바꿉니다,Changement de forme librement[]selon [Contrôleur],Form frei ändern[]nach [Controller],Cambiando forma libremente[]por [Controlador],Modifica della forma liberamente[]in base a [Controller],Ændring af form frit[]ifølge [Controller],「コントローラ」に従ってシェイプ[]を自由に変更する,根據[控制器]自由改變形狀,根据[控制器]自由改变形状,Zmiana kształtu dowolnie[] zgodnie z [Kontroler],
DLG_ModInfo_AnimatedMorph,174,Changing shape freely[]according to [Animation],[애니메이션]으로 모양을[]자유롭게 바꿉니다,Changer de forme librement[]selon [Animation],Form frei verändern[]nach [Animation],Cambiando forma libremente[]por [Animación],Cambiare forma liberamente[]secondo [Animazione],Ændring af form frit[]ifølge [Animation],「アニメーション」に従って自由に[]形を変える,根據[動畫]自由改變形狀,根据[动画]自由改变形状,Zmiana kształtu dowolnie[] zgodnie z [Animacja],
DLG_ModInfo_Rigging,175,Adding [Bones][]to make joint animation,관절 애니메이션을 위해[][본]을 추가합니다,Ajouter [des os]pour faire[]animation conjointe,[Knochen] für gemeinsame []Animation hinzufügen,Agregar [Huesos][]para la animación conjunta,Aggiungi [Ossa] per fare [] un'animazione congiunta,Tilføjelse af [Knogler][]for at lave fælles animation,「ボーン」を追加して[]「ジョイントアニメーション」を作成する,添加[ボーン骼] 進行關節動畫,添加[骨骼] 进行关节动画,Dodawanie [kości][]do tworzenia animacji kości,
DLG_ModInfo_Physic,176,Entering [Physical Information][]to give inertia,[물리 정보]를 입력하여[]관성을 추가합니다.,Entrer [Information physique][]pour donner l'inertie,Eingabe von[][Physikalischen Informationen],Ingresando [Información física][]para dar inercia,Immissione di [Informazioni fisiche][]per dare inerzia,Indtastning [Fysisk information][]for at give inerti,慣性を与えるために[物理情報] []を入力する,輸入[物理信息] 給出慣性,输入[物理信息] 给出惯性,Wprowadzanie [Informacje fizyczne][]w celu nadania inercji,
DLG_ModInfo_TF,177,Changing shape[]with basic transformation[]according to [Controller],[컨트롤러]로 기본 형태를[]바꿀 수 있습니다.,Changement de forme[]avec transformation de base[]en fonction de [Contrôleur],Form mit Basistransformation ändern[]nach [Controller],Cambio de forma[]con transformación básica[]según [Controlador],Cambio di forma[]con trasformazione di base[]in base a [Controller],Ændring af form[]med grundlæggende transformation[]ifølge [Controller],[コントローラ]に従って基本変形[]で形状を変更する,根據[控制器]使用基本變換更改形狀,根据[控制器]使用基本变换更改形状,Zmiana kształtu[] z podstawową transformacją[] zgodnie z [Kontroler],
DLG_ModInfo_AnimatedTF,178,Changing shape[]with basic transformation[]according to [Animation],[애니메이션]으로 기본 형태를[]바꿀 수 있습니다.,Changer la forme[]avec la transformation de base[]selon [Animation],Form ändern mit Basistransformation[]nach [Animation],Cambio de forma[]con transformación básica[]según [Animación],Cambia la forma[]con la trasformazione di base[]in base a [Animazione],Ændring af form[]med grundlæggende transformation[]ifølge [Animation],[アニメーション]に従って基本変形[]で形状を変更する,根據[動畫]使用基本變換更改形狀,根据[动画]使用基本变换更改形状,Zmiana kształtu[] z podstawową transformacją[] zgodnie z [Animacja],
DLG_AnimationEvents,179,Animation Events,애니메이션 이벤트,Événements d'animation,Animationsereignisse,Eventos de animación,Eventi di animazione,Animationsbegivenheder,アニメーションイベント,動畫事件,动画事件,Wydarzenia animacji,
DLG_Range,180,Range,범위,Gamme,Angebot,Distancia,Gamma,Rækkevidde,範囲,範圍,范围,Zasięg,
DLG_IsLoopAnimation,181,Is Loop Animation,루프 애니메이션인가,Est en boucle,Ist Schleifenanimation,Animación de bucle,È Loop Animation,Er Loop Animation,ループアニメーション,是循環動畫,是循环动画,Jest animacją w pętli,
DLG_AddEvent,182,Add Event,이벤트 추가,Ajouter,Hinzufügen,Añadir evento,Aggiungi evento,Tilføj,イベントを追加,添加事件,添加事件,Dodaj wydarzenie,
DLG_Sort,183,Sort,정렬,Trier,Sortieren,Clasificar,Ordinare,Sortere,ソート,排序,排序,Sortować,
DLG_EventName,184,Event(Function) Name,이벤트(함수) 이름,Nom(Fonction),Name(Funktion),Nombre (función),Nome (funzione),Navn (Funktion) ,イベント(機能)名,事件(功能)名稱,事件(功能)名称,Nazwa (funkcji),
DLG_CallMethod,185,Call Method,호출 방식,Méthode,Anrufmethode,Método,Metodo,Opkaldsmetode,呼び出しメソッド,調用方法,调用方法,Metoda,
DLG_TargetFrame,186,Target Frame,대상 프레임,Cadre cible,Zielrahmen,Marco objetivo,Bersaglio,Målramme,ターゲットフレーム,目標框架,目标框架,Klatki docelowej,
DLG_StartFrame,187,Start Frame,시작 프레임,Départ cadre,Rahmen starten,Marco inicial,Inizia Frame,Startramme,開始フレーム,開始幀,开始帧,Początek,
DLG_EndFrame,188,End Frame,종료 프레임,Fin cadre,Endrahmen,Marco final,End Frame,Slutramme,終了フレーム,結束幀,结束帧,Koniec,
DLG_Parameters,189,Parameters,매개 변수들,Paramètres,Parameter,Parámetros,Parametri,Parametre,パラメーター,參數,参数,Parametry,
DLG_AddParameter,190,Add Parameter,매개 변수 추가,Ajouter paramètre,Parameter hinzufügen,Agregar parámetro,Aggiungi parametro,Tilføj parameter,パラメータの追加,添加參數,添加参数,Dodaj parametr,
DLG_RemoveEvent,191,Remove Event,이벤트 삭제,Supprimer,Ereignis entfernen,Eliminar evento,Rimuovi evento,Fjern begivenhed,イベントを削除,刪除事件,删除事件,Usuń wydarzenie,
DLG_NotSelected,192,Not Selected,선택되지 않음,Non séléctionné,Nicht ausgewählt,No seleccionado,Non selezionato,Ikke valgt,未選択,未選中,未选中,Nie zaznaczone,
DLG_Portrait,193,Portrait,포트레이트,Portrait,Porträt,Retrato,Ritratto,Portræt,ポートレート,肖像,肖像,Portret,
DLG_BakeSetting,194,Bake Setting,내보내기 설정,Paramètres,Backen Einstellung,Config de export,Impostazioni di esportazione,Bake Setting,ベイクの設定,烘烤設置,烘烤设置,Ustawienie pieczenia,
DLG_BakeScale,195,Bake Scale,크기 비율,Echelle,Backen Skala,Escala,Scala,Bake Scale,ベイクスケール,尺寸比例,尺寸比例,Skala pieczenia,
DLG_ZPerDepth,196,Z Per Depth,깊이당 Z값,Z par profondeur,Z pro Tiefe,Z por profundidad,Z per profondità,Z pr. Dybde,Z当たりの深さ,Z深度,Z深度,Z Głębokość,
DLG_Bake,197,Bake,내보내기,Exporter,Backen,Exportación,Esportazione,Bage,ベイク,烘烤,烘烤,Piec,
DLG_OptimizedBaking,198,Optimized Baking,최적화된 내보내기,Exportation optimisée,Optimiertes Backen,Exportación optimizada,Esportazione ottimizzata,Optimeret Bagning,最適化されたベーキング,優化的烘烤,优化的烘烤,Piec zoptymalizowany,
DLG_Target,199,Target,대상,Cible,Ziel,Objetivo,Bersaglio,Mål,ターゲット,對象,对象,Cel,
DLG_OptimizedBakeTo,200,Optimized Bake to,최적화된 내보내기 대상,Export optimisée vers,Optimiertes Backen zu,Opt-Exportación para,Esportazione ottimizzata a,Optimeret Bage til,最適化されたベイク,優化烘焙,优化烘焙,Piec zoptymalizowany do,
DLG_OptimizedBakeMakeNew,201,Optimized Bake[]    (Make New GameObject),최적화된 내보내기 대상[]    (새로운 GameObject 만들기),Export optimisée[]    (Créer nouveau GameObject),Optimiertes Backen[]    (Neues GameObject),Opt-Exportación[]    (Crea nuevo GameObject),Esportazione ottimizzata[]    (Crea un nuovo GameObject),Optimeret Bage[]    (Lav nyt GameObject),最適化されたベイク[]    (新しいGameObjectを作る),優化的烘焙[]    (創建一個新的GameObject),优化的烘焙[]    (创建一个新的GameObject),Piec zoptymalizowany[]    (Utwórz nowy GameObject),
DLG_Setting,202,Setting,설정 ,Réglage,Rahmen,Ajuste,Ambientazione,Indstilling,設定,設置,设置,Ustawienia,
DLG_Position,203,Position,위치,Position,Position,Posición,Posizione,Position,位置,位置,位置,Pozycja,
DLG_CaptureSize,204,Capture Size,캡쳐 영역,Taille de capture,Größe erfassen,Tamaño de captura,Cattura dimensioni,Capture størrelse,キャプチャサイズ,捕捉大小,捕捉大小,Rozmiar ekranu,
DLG_Width,205,Width,가로,Largeur,Breite,Anchura,Larghezza,Bredde,横,寬度,宽度,Szerokość,
DLG_Height,206,Height,세로,Hauteur,Höhe,Altura,Altezza,Højde,縦,高度,高度,Wysokość,
DLG_ImageSize,207,Image Size,이미지 크기,Taille de image,Bildgröße,Tamaño de imagen,Dimensione dell'immagine,Billedestørrelse,画像サイズ,圖片大小,图片大小,Rozmiar obrazu,
DLG_BGColor,208,BG Color,배경색,Couleur BG,BG Farbe,BG Color,Colore BG,BG farve,背景色,BG顏色,BG颜色,Kolor BG,
DLG_FixedAspectRatio,209,Fixed Aspect Ratio,화면비 고정,Rapport d'aspect fixe,Festes Seitenverhältnis,Relación de aspecto fijo,Proporzioni fisse,Fastformet forhold,固定アスペクト比,固定長寬比,固定长宽比,Stały stosunek,
DLG_NotFixedAspectRatio,210,Not Fixed Aspect Ratio,화면비 고정안함,Rapport d'aspect non fixe,Variables Seitenverhältnis,Relación de aspecto no fijo,Proporzioni non fisse,Ikke fastformet forhold,アスペクト比を固定しない,不固定長寬比,不固定长宽比,Nie stały stosunek,
DLG_ThumbnailCapture,211,Thumbnail Capture,썸네일 캡쳐,Capture de vignettes,Miniaturbildaufnahme,Captura de miniaturas,Cattura di miniature,Thumbnail Capture,サムネイルキャプチャ,縮略圖捕獲,缩略图捕获,Przechwytywanie miniatur,
DLG_FilePath,212,File Path,파일 경로,Chemin,Dateipfad,Ruta,Percorso del file,Filsti,ファイルパス,文件路徑,文件路径,Ścieżka pliku,
DLG_Change,213,Change,변경,Change,Change,Cambio,Cambiare,Lave om,変更,更改,更改,Zmiana,
DLG_MakeThumbnail,214,Make Thumbnail,썸네일 생성,Faire une miniature,Mache Vorschaubild,Hacer miniatura,Crea miniatura,Lav miniatur,サムネイルを作成,縮略圖,缩略图,Utwórz miniaturę,
DLG_ScreenshotCapture,215,Screenshot Capture,화면 캡쳐,Capture d'écran,Screenshot erfassen,Captura de pantalla,Cattura screenshot,Screenshot Capture,スクリーンショットキャプチャ,截圖捕捉,截图捕捉,Zrzut ekranu,
DLG_TakeAScreenshot,216,Take a Screenshot,화면 캡쳐하고 저장,Prendre capture d'écran,Mach Bildschirmfoto,Captura la pantalla,Fai uno screenshot,Tag et skærmbillede,スクリーンショットを撮,截圖,截图,Zrób zrzut ekranu,
DLG_GIFAnimation,217,GIF Animation,GIF 애니메이션,GIF Animation,GIF-Animation,Animación GIF,Animazione GIF,GIF Animation,GIFアニメーション,GIF動畫,GIF动画,Animacja GIF,
DLG_NotAnimation,218,< Animation is not selected >,< 애니메이션이 선택되지 않음 >,<Animation n'est pas sélectionnée>,<Animation ist nicht ausgewählt>,<La animación no está seleccionada>,<L'animazione non è selezionata>,<Animation er ikke valgt>,<アニメーションが選択されていません>,<未選擇動畫>,<未选择动画>,< Animacja nie jest wybrana >,
DLG_QualityHigh,219,Quality [ High ],품질 [ 좋음 ],Qualité [ Haute ],Qualität [ Hoch ],Calidad [ Alto ],Qualità [Alta],Kvalitet [Høj],品質 [ 高 ],質量 [ 高 ],质量 [ 高 ],Jakość [ Wysoki ],
DLG_QualityMedium,220,Quality [ Medium ],품질 [ 보통 ],Qualité [ Moyenne ],Qualität [ Mittel ],Calidad [ Promedio ],Qualità [Medio],Kvalitet [Mellem],品質 [ 中 ],質量 [ 中 ],质量 [ 中 ],Jakość [ Średni ],
DLG_QualityLow,221,Quality [ Low ],품질 [ 낮음 ],Qualité [ Faible ],Qualität [ Niedrig ],Calidad [ Bajo ],Qualità [Basso],Kvalitet [Lav],品質 [ 低 ],質量 [ 低 ],质量 [ 低 ],Jakość [ Niska ],
DLG_LoopCount,222,Loop Count,반복 횟수,Nombre de boucles,Schleifenzählung,Bucles,Conteggio dei cicli,Antal løkker,ループカウント,循環計數,循环计数,Liczba pętli,
DLG_TakeAGIFAnimation,223,Export as GIF,GIF로 내보내기,Exporter en GIF,Als GIF exportieren,Exportar como GIF,Esporta come GIF,Eksporter som GIF,GIFとして書き出す,導出為GIF,导出为GIF,Eksportuj jako GIF,
DLG_AnimationClips,224,Animation Clips,애니메이션 클립,Clips d'animation,Animationsclips,Clips de animación,Clip di animazione,Animationsklip,アニメーションクリップ,動畫剪輯,动画剪辑,Klipy animacji,
DLG_SelectedControlParamSetting,225,Selected Controller Parameter Setting,선택된 컨트롤 파라미터 설정,Paramètre du contrôleur sélectionné,Einstellung Reglerparameter gewählt,Parámetro del controlador seleccionado,Impostazione dei parametri del controller selezionata,Valg af regulatorparameterindstilling,選択されたコントローラパラメータ設定,所選控制器參數設置,所选控制器参数设置,Wybrane ustawienie parametrów,
DLG_Default,226,Default,기본값,Défaut,Default,Defecto,Default,Standard,デフォルト,默認,默认,Default,
DLG_RegistToPreset,227,Register as a Preset,프리셋으로 등록,Définir le préréglage,Registriere,Regist,Registra su Preset,Registrér,プリセットとして登録,註冊預設,注册预设,Zarejestrować,
DLG_Presets,228,Presets,프리셋,Presets,Voreinstellungen,Presets,Presets,Presets,プリセット,預置,预置,Presets,
DLG_Category,229,Category,분류,Catégorie,Kategorie,Categoría,Categoria,Kategori,カテゴリー,類別,类别,Kategoria,
DLG_ValueType,230,Value Type,타입,Type de valeur,Werttyp,Tipo de valor,Tipo di valore,Værdi Type,値の種類,值類型,值类型,Typ wartości,
DLG_Min,231,Min,최소,Min,Min,Min,Min,Min,最小,最低,最低,Min,
DLG_Max,232,Max,최대,Max,Max,Max,Max,Max,最大,最大,最大,Max,
DLG_Axis1,233,Axis 1,X 축,Axe 1,Achse 1,Eje 1,Asse 1,Akse 1,軸1,軸1,轴1,Oś 1,
DLG_Axis2,234,Axis 2,Y 축,Axe 2,Achse 2,Eje 2,Asse 2,Akse 2,軸2,軸2,轴2,Oś 2,
DLG_ValueRange,235,Value Range,값 범위,Plage de valeurs,Wertebereich,Rango de valores,Intervallo,Værdiinterval,値の範囲,值範圍,值范围,Zakres wartości,
DLG_Label,236,Label,값 범위 이름,Étiquette,Etikett,Etiqueta,Etichetta,Etiket,ラベル,標籤,标签,Etykieta,
DLG_SnapSize,237,Snap Size,스냅 개수,Nombre de point,Anzahl der Punkte,Ajustar tamaño,Dimensione snap,Snap Size,スナップサイズ,捕捉大小,捕捉大小,Rozmiar Snap,
DLG_RemovePreset,238,Remove Preset,프리셋 제거,Supprimer,Entfernen,Eliminar preest,Rimuovi preset,Fjern forudindstillet,プリセットを削除,刪除預設,删除预设,Usuń Preset,
DLG_Apply,239,Apply,적용,Appliquer,Bewerben,Aplicar,Applicare,Ansøge,適用,應用,应用,Zastosować,
DLG_SetSuctomFFDGridSize,240,Set Custom FFD Grid Size,FFD 크기 설정,Taille de grille FFD,Benutzerdefinierte FFD-Größe,Tamaño de rejilla FFD,Dimensione della griglia FFD,Indstil Custom FFD Grid Size,カスタムFFDグリッドサイズを設定する,設置自定義FFD網格大小,设置自定义FFD网格大小,Niestandardowy rozmiar FFD,
DLG_StartEdit,241,Start Edit,편집 시작,Commencer,Starten,Comenzar,Inizia Modifica,Start Rediger,編集を開始,開始編輯,开始编辑,Rozpocznij,
DLG_NewPortraitName,242,New Portrait Name,새 포트레이트 이름,Nouveau nom de portrait,Neuer Porträtname,Nuevo nombre de retrato,Nuovo nome ritratto,Nyt portrætnavn,新しいポートレートの名前,新的肖像名稱,新的肖像名称,Nowa nazwa portretu,
DLG_MakePortrait,243,Make Portrait,포트레이트 생성,Faire un portrait,Mache Porträt,Hacer un retrato,Crea ritratto,Lav portræt,ポートレートを作,做肖像,做肖像,Zrób portret,
DLG_SelectedPhysicsSetting,244,Selected Physics Setting,선택된 물리 설정,Paramètre de physique,Ausgewählte Physikeinstellung,Config de física seleccionada,Impostazione fisica selezionata,Udvalgte fysikindstillinger,選択された物理設定,選定的物理設置,选定的物理设置,Wybrane ustawienie fizyki,
DLG_Name,245,Name,이름,prénom,Name,Nombre,Nome,Navn,名,名,名,Nazwa,
DLG_Icon,246,Icon,아이콘,Icône,Symbol,Icono,Icona,Ikon,アイコン,圖標,图标,Ikona,
DLG_Editor,247,Editor,에디터,Éditeur,Editor,Editor,Editore,Editor,エディタ,編輯,编辑,Redaktor,
DLG_About,248,About,정보,Info,Über,Información,Informazioni,Om,情報,關於,关于,Informacja,
DLG_PortraitSetting,249,Portrait Settings,포트레이트 설정,Paramètres du portrait,Hochformateinstellungen,Config de retrato,Impostazioni ritratto,Portrætindstillinger,ポートレートの設定,肖像配置,肖像配置,Ustawienia portretu,
DLG_Setting_FPS,250,FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,FPS,
DLG_Setting_IsImportant,251,Is Important,Important 설정,Est important,Ist Important,Es Important,È Important,Er Important,Important設定,是Important,是Important,Jest Important,
DLG_Setting_ManualBackUp,252,Save Backup (Manual),수동 백업 저장,Sauvegarder (manuelle),Backup sichern (manuell),Respaldo (manual),Salva backup (manuale),Gem backup (manuel),バックアップの保存(手動),保存備份(手動),保存备份(手动),Zapisz Backup (ręczna),
DLG_EditorSetting,253,Editor Settings,에디터 설정,Paramètres de l'éditeur,Editoreinstellungen,Config del editor,Impostazioni dell'editore,Rediger indstillinger,エディタの設定,編輯器設置,编辑器设置,Ustawienia edytora,
