Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
TargetMeshTransform,144,Target Mesh Transform,대상 메시 트랜스폼,Maillage cible,Zielnetz,Malla de objetivo,Maglia bersaglio,Målnet,ターゲットメッシュ,目標網格劃分變換,目标网格划分变换,Celowana siatka,
TargetMeshGroupTransform,145,Target Mesh Group Transform,대상 메시 그룹 트랜스폼,Groupe de maillage cible,Zielnetzgruppe,Grupo de malla objetivo,Gruppo di maglie bersaglio,Målgruppen,ターゲットメッシュグループ,目標網格劃分群變換,目标网格划分群变换,Celowana grupa siatki,
TargetBone,146,Target Bone,대상 본,Os cible,Zielknochen,Hueso objetivo,Osso bersaglio,Målben,ターゲットボーン,目標骨,目标骨,Celowana kość,
NotAddedtoEdit,147,Not Added to Edit,추가되지 않음,Non ajouté,Nicht hinzugefügt,No agregado a editar,Non aggiunto,Ikke tilføjet til Rediger,編集に追加されない,沒有添加,没有添加,Nie dodano do edycji,
Selected,148,Selected,선택 됨,Choisi,Selected,Selected,Selected,Valgte,選択された,選擇,选择,Selected,
NoVertexisSelected,149,No Vertex is Selected,선택된 버텍스가 없음,Aucun sommet n'est choisi,Nein Scheitelpunkt,Vértice no está seleccionado,Nessun vertice,Ingen Vertex er valgt,頂点が選択されていない,沒有頂點被選中,没有顶点被选中,Nie wybrano żadnego punktu,
NumVertsareSelected,150,{0} Vertices are Selected,{0} 개의 버텍스 선택됨,{0} Les sommets sont choisis,{0} Scheitelpunkte,{0} Se seleccionan,{0} Vertices,{0} Vertikaler er valgt,{0}頂点が選択されています,已選擇{0}個頂點,已选择{0}个顶点,Wybrano {0} punkty,
SingleVertexSelected,151,Vertex {0} is selected,버텍스 {0} 선택됨,Le sommet {0} est choisis,Scheitelpunkt {0},Vertex {0} es seleccionado,Vertice {0},Vertex {0} er valgt,頂点{0}が選択されています,頂點{0}被選中,顶点{0}被选中,Wybrano punkt {0},
SetImportant,152,Set Important,Important 설정,Important OFF,Important OFF,Important OFF,Imposta Important,Important OFF,[Important]な設定,設置Important,设置Important,Ustaw Important,
ImportantVertex,153,Important Vertex,Important 설정됨,Important ON,Important ON,Important ON,Vertice Important,Important ON,[Important]な頂点,Important的頂點,Important的顶点,Important punkt,
SetWeight,154,Set Weight,값 적용,Définir,Setze,Establecer,Imposta peso,Indstil,重みを適用,設置重量,设置重量,Ustaw wagę,
ScaleWeight,155,Scale Weight,비율 적용,Échelle,Skalieren,Escala,Scala di peso,Skalering,重みの比率,比例重量,比例重量,Skala wagi,
Grow,156,Grow,선택 확대,Croître,Wachsen,Crecer,Crescere,Dyrke,成長,增長,增长,Rosnąć,
Shrink,157,Shrink,선택 축소,Rétrécir,Schrumpfen,Encoger,Contrarsi,Krympe,シュリンク,收縮,收缩,Kurczyć się,
Blend_Weight,158,Blend,가중치 혼합,Mélange,Mischung,Mezcla,Miscela,Blanding,ブレンド,混合,混合,Mieszanka,
ViscosityGroupID,159,Viscosity Group ID,점성도 그룹 ID,ID de viscosité,Viskositätsgruppen-ID,ID del grupo de viscosidad,ID gruppo viscosità,Viskositetsgruppe ID,粘度グループID,粘度組ID,粘度组ID,Grupa-ID lepkości,
PhysicalMaterial,160,Physical Material,물리 재질,Matériel physique,Physisches Material,Material físico,Materiale fisico,Fysisk materiale,物理材質,物質材料,物质材料,Materiał fizyczny,
BasicSetting,161,Basic Setting,기본 설정,Réglage de base,Grundeinstellung,Config básica,Impostazioni di base,Grundindstilling,標準設定,基本設置,基本设置,Podstawowe ustawienie,
Mass,162,Mass,질량,Masse,Masse,Masa,Massa,Masse,質量,彌撒,弥撒,Masa,
Damping,163,Damping,제동,Amortissement,Dämpfung,Mojadura,Damping,Dæmpning,ブレーキ,制動,制动,Tłumienie,
AirDrag,164,Air Drag,공기 저항,Traînée d'air,Luftwiderstand,Air Trail,Air Trail,Drag,空気抵抗,空氣拖動,空气拖动,Opór powietrza,
SetMoveRange,165,Set Move Range,이동 범위 설정,Gamme de déplacement,Bewegungsreichweite,Rango de movimiento,Gamma di spostamento,Indstil Flyt interval,移動範囲を設定,設置移動範圍,设置移动范围,Ustaw zakres ruchu,
MoveRange,166,Move Range,이동 범위,Gamme,Reichweite,Rango,Sposta gamma,Flyt rækkevidde,移動範囲,移動範圍,移动范围,Zakres ruchu,
MoveRangeUnlimited,167,Move Range : Unlimited,이동 범위 : 무제한,Gamme : Illimité,Reichweite : Unbegrenzt,Rango : Ilimitado,Sposta gamma : Illimitato,Flyt rækkevidde : Ubegrænset,移動範囲：無制限,移動範圍 : 無限,移动范围 : 无限,Zakres ruchu : nieograniczony,
Stretchiness,168,Stretchiness,신축성,Stretchiness,Elastizität,Estiramiento,Stretchiness,Stretchiness,伸縮性,延展性,延展性,Rozciągliwość,
K_Value,169,K-Value,K 상수,Valeur K,K-Wert,Valor K,K-Valore,K-værdi,K定数,K值,K值,Wartość K,
SetStretchRange,170,Set Stretch Range,신축 범위 설정,Gamme de stretchiness,Dehnungsbereich,Rango de estiramiento,Gamma di elasticità,Indstil strækningsområde,新築範囲設定,設置拉伸範圍,设置拉伸范围,Ustaw zakres rozciągania,
LengthenRatio,171,Lengthen Ratio,신축 비율,Ratio,Verlängern,Ratio,Rapporto,Længdeforhold,新築の割合,延長比率,延长比率,Stosunek,
LengthenRatioUnlimited,172,Lengthen Ratio : Unlimited,신축 비율 : 무제한,Ratio: Illimité,Verlängern : Unbegrenzt,Ratio : Ilimitado,Rapporto : Illimitato,Længdeforhold : Ubegrænset,新築の比率：無制限,延長比例 : 無限,延长比例 : 无限,Stosunek : nieograniczony,
Inertia,173,Inertia,관성,Inertie,Trägheit,Inercia,Inerzia,Inerti,慣性,慣性,惯性,Bezwładność,
Restoring,174,Restoring,복원성,Restaurer,Wiederherstellen,Restaurando,Ripristino,Gendannelse,復元性,恢復,恢复,Przywracanie,
Viscosity,175,Viscosity,점성,Viscosité,Viskosität,Viscosidad,Viscosità,Viskositet,粘性,粘性,粘性,Lepkość,
Gravity,176,Gravity,중력,Gravité,Schwerkraft,Gravedad,Gravità,Tyngdekraft,重力,重力,重力,Grawitacja,
InputType,177,Input Type,입력 방식,Type d'entrée,Eingabetyp,Tipo de entrada,Tipo di input,Indgangstypen,入力方式,輸入類型,输入类型,Typ wejściowy,
NoControlParam,178,No Control Parameter,컨트롤 파라미터 없음,Aucun paramètre,Kein Steuerparameter,Sin parámetro de control,Nessun parametro,Ingen kontrolparameter,制御パラメータなし,沒有控制參數,没有控制参数,Brak parametru kontrolnego,
Set,179,Set,설정,Set,Set,Set,Set,Sæt,設定,設置,设置,Wybierz,
Wind,180,Wind,바람,Vent,Wind,Viento,Vento,Vind,風,風,风,Wiatr,
WindRandomRangeSize,181,Wind Random Range Size,바람 랜덤 범위,Taille aléatoire du vent,Zufälliger Bereich Windes,Tamaño aleatorio de Viento,Dimensione casuale del vento,Vind tilfældig rækkevidde,風ランダム範囲,風隨機範圍大小,风随机范围大小,Losowy zasięg siły wiatru,
Method,182,Method,방식,Méthode,Methode,Método,Metodo,Metode,方法,方法,方法,Metoda,
AddImage,183,Add Image,이미지 생성,Créer image,Neues Bild,Añadir imagen,Nuovo immagine,Tilføj billede,画像を追加,添加圖片,添加图片,Dodaj obraz,
ImportPSDFile,184,Import PSD File,PSD 파일 가져오기,Importer fichier PSD,Importieren PSD-Datei,Importar archivo PSD,Importa file PSD,Importer PSD-filen,PSDファイルの読み込み,導入PSD文件,导入PSD文件,Importuj plik PSD,
AddMesh,185,Add Mesh,메시 생성,Créer maillage,Neues Netz,Nuevo malla,Nuovo maglia,Tilføj mesh,メッシュを追加,添加網格劃分,添加网格划分,Dodaj siatkę,
AddMeshGroup,186,Add Mesh Group,메시 그룹 생성,Créer groupe de maillage,Neues Netzgruppe,Nuevo grupo de malla,Nuovo gruppo di maglie,Tilføj maskegruppe,メッシュグループを追加,添加網格劃分組,添加网格划分组,Dodaj grupę siatki,
AddAnimationClip,187,Add Animation Clip,애니메이션 클립 생성,Créer clip d'animation,Neues Animationsclip,Nuevo clip de animación,Nuovo clip di animazione,Tilføj animationsklip,アニメーションクリップを追加,添加動畫剪輯,添加动画剪辑,Dodaj klip animacji,
AddControlParameter,188,Add Control Parameter,컨트롤 파라미터 생성,Créer paramètre de contrôle,Neues Regelparameter,Nuevo parámetro de control,Nuovo param di controllo,Tilføj kontrolparameter,制御パラメータを追加,添加控制參數,添加控制参数,Dodaj parametr kontrolny,
NoMeshIsSelected,189,No Mesh is Selected,선택된 메시가 없음,Aucun maillage,Kein Netz ist ausgewählt,No se selecciona Malla,Nessuna maglia,Ingen maske er valgt,メッシュが選択されていない,沒有選擇網格劃分,没有选择网格划分,Nie wybrano siatki,
RemoveFromRigging,190,Remove from Rigging,리깅에서 제거,Retirer du Rigging,Vom Rigging entfernen,Eliminar de Rigging,Rimuovi da Rigging,Fjern fra Rigging,リギングから取り除く,從索具中移除,从索具中移除,Usuń z Riggingu,
AddToRigging,191,Add to Rigging,리깅에 추가,Ajouter à Rigging,Zum Rigging hinzufügen,Agregar a Rigging,Aggiungi a Rigging,Tilføj til Rigging,リギングに追加,添加到索具,添加到索具,Dodaj do Riggingu,
AutoNormalize,192,Auto Normalize,자동 노멀라이즈,Auto-Normaliser,Auto-Normalize,Auto-Normalizar,Auto Normalizza,Auto Normaliser,自動ノーマライズ,自動標準化,自动标准化,Auto-normalizacja,
Normalize,193,Normalize,노멀라이즈,Normaliser,Normalize,Normalizar,Normalizzare,Normalisér,ノーマライズ,規範化,规范化,Normalizować,
Prune,194,Prune,가중치 정리,Prune,Prune,Prune,Fesso,Prune,重みまとめ,修剪,修剪,Prune,
AutoRig,195,Auto Rig,자동 리깅,Auto Rig,Auto-Rig,Auto-Riggin,Auto Rig,Auto-Rig,オートリグ,自動索具,自动索具,Auto-Rig,
AddToPhysics,196,Add to Physics,물리 효과에 추가,Ajouter à Physique,Zu Physics hinzufügen,Añadir a Física,Aggiungi a fisica,Tilføj til fysik,物理的な効果に加える,添加到物理,添加到物理,Dodaj do fizyki,
RemoveFromPhysics,197,Remove from Physics,물리 효과에서 제거,Retirer de Physique,Vom Physics entfernen,Eliminar de Física,Rimuovi dalla fisica,Fjern fra fysik,物理的な効果から削除,從物理中刪除,从物理中删除,Usuń z fizyki,
Vertex,198,Vertex,버텍스,Sommet,Scheitel,Vértice,Vertice,Vertex,頂点,頂點,顶点,Punkt,
PhysicsPresets,199,Physics Presets,물리 재질 프리셋,Préréglages,Voreinstellungen,Presets de Física,Preset di fisica,Forudindstillinger,物理プリセット,物理預設,物理预设,Presety fizyki,
Target,200,Target,대상,Cible,Ziel,Objetivo,Bersaglio,Mål,対象,對象,对象,Cel,
NoMeshGroup,201,No Mesh Group,메시 그룹 없음,Aucun groupe de maillage,Keine Netzgruppe,Sin grupo de malla,Nessun gruppo di maglie,Ingen maskingruppe,メッシュグループなし,沒有網格劃分組,没有网格划分组,Brak grupy siatki,
AnimationSettings,202,Animation Settings,애니메이션 설정,Paramètres d'animation,Animationseinstellungen,Config de animación,Impostazioni di animazione,Animationsindstillinger,アニメーション設定,動畫設置,动画设置,Ustawienia animacji,
StartFrame,203,Start Frame,시작 프레임,Départ cadre,Rahmen starten,Marco inicial,Inizia Frame,Startramme,開始フレーム,開始幀,开始帧,Początek,
EndFrame,204,End Frame,종료 프레임,Fin cadre,Endrahmen,Marco final,End Frame,Slutramme,終了フレーム,結束幀,结束帧,Koniec,
LoopOn,205,Loop On,반복 재생 활성됨,Boucle ON,Schleife ON,Loop ON,Loop ON,Loop ON,ループ有効,循環激活,循环激活,Pętla ON,
LoopOff,206,Loop Off,반복 재생 비활성됨,Boucle OFF,Schleife OFF,Loop OFF,Loop OFF,Loop OFF,ループ無効,循環已禁用,循环已禁用,Pętla OFF,
AnimationEvents,207,Animation Events,애니메이션 이벤트,Événements,Animationsereignisse,Eventos de animación,Eventi di animazione,Animationsbegivenheder,アニメーションイベント,動畫事件,动画事件,Wydarzenia z animacji,
ExportImport,208,Export/Import,내보내기/가져오기,Exporter/Importer,Export/Import,Exportar/Importar,Esporta / Importa,Eksport/Import,エクスポート/インポート,導出 / 導入,导出 / 导入,Eksport / Import,
AllObjectToLayers,209,All {0} to Layers,모든 {0} 레이어에 등록,Tous {0} aux calques,Alle {0} zu Layern,Todos {0} a Capas,Tutto da {0} a strati,Alle {0} til lag,すべての{0}をレイヤーに,所有{0}圖層,所有{0}图层,Wszystkie {0} do warstw,
RemoveTimeline,210,Remove Timeline,타임라인 제거,Supprimer Timeline,Entfernen Zeitleiste,Eliminar Timeline,Rimuovi Timeline,Fjern tidslinje,タイムラインを削除,刪除時間線,删除时间线,Usuń oś czasu,
AddTimelineLayerToEdit,211,Add Timeline Layer to Edit,타임라인 레이어로 추가하여 편집,Ajouter calque de Timeline,Zeitachsenebene hinzufügen,Agregar capa de Timeline,Aggiungi strato di Timeline,Tilføj tidslinjelag,タイムラインレイヤーを編集に追加,添加時間線圖層進行編輯,添加时间线图层进行编辑,Dodaj warstwę osi czasu,
RemoveTimelineLayer,212,Remove Timeline Layer,타임라인 레이어 제거,Supprimer couche de Timeline,Entfernen Zeitachsenebene,Eliminar capa de Timeline,Rimuovi strato di Timeline,Fjern tidslinjelag,タイムラインレイヤーを削除,刪除時間線圖層,删除时间线图层,Usuń warstwę osi czasu,
TimelineLayers,213,Timeline Layers,타임라인 레이어,Couche de Timeline,Zeitachsenebenen,Capas de Timeline,Strati di Timeline,Tidslinje lag,タイムラインレイヤー,時間軸層,时间轴层,Warstwy osi czasu,
EditingAnim,214,Editing,편집 중,Modification,Bearbeitung,Edición,La modifica,Redigering,編集中,編輯,编辑,Edytuj..,
StartEdit,215,Start Edit,편집하기,Commencer,Bearbeiten,Comenzar,Modifica,Start,編集を開始,開始編輯,开始编辑,Edytować,
NoEditable,216,No-Editable,편집불가,Incapable,Nicht,No-Editable,No-modificabile,Ikke,編集不可能,無法編輯,无法编辑,Nie edytuj,
AddKey,217,Add Key,키 추가,Clé,Schlüssel,Clave,Aggiungi,Nøgle,キーを追加,添加密鑰,添加密钥,Dodaj,
AddKeyframesToAllLayers,218,Add Keyframes to All Layers,모든 레이어에 키 추가,Ajouter des images clés à tous,Fügen Sie alle Schlüssel hinzu,Añadir claves a todas las capas,Aggiungi le chiavi a tutti,Tilføj Keyframes til alle lag,すべてのレイヤーにキーフレームを追加,將關鍵幀添加到所有層,将关键帧添加到所有层,Dodaj klatki kluczowe do warstw,
Frame,219,Frame,프레임,Cadre,Rahmen,Marco,Frame,Ramme,フレーム,幀,帧,Klatki,
UnhideLayers,220,Unhide Layers,레이어 숨김 해제,Afficher couches,Einblenden,Mostrar capas,Scopri i strati,Udlægge lag,レイヤーを再表示する,取消隱藏圖層,取消隐藏图层,Odkryj warstwy,
AutoScroll,221,Auto Scroll,자동 스크롤,Défilement,Auto-Scrollen,Auto-Scroll,Auto Scroll,Auto-rulning,自動スクロール,自動滾屏,自动滚屏,Auto-Przewijania,
Timeline,222,Timeline,타임라인,Timeline,Zeitleiste,Timeline,Timeline,Tidslinje,タイムライン,時間線,时间线,Oś czasu,
TimelineLayer,223,Timeline Layer,타임라인 레이어,Couche de Timeline,Zeitachsenebene,Capa de Timeline,Strato di Timeline,Tidslinjelag,タイムラインレイヤー,時間線層,时间线层,Warstwa osi czasu,
Timelines,224,Timelines,타임라인,Timelines,Zeitleisten,Timelines,Timelinee,Tidslinjer,タイムライン,時間線,时间线,Osie czasu,
NotSelected,225,Not Selected,선택되지 않음,Non séléctionné,Nicht ausgewählt,No seleccionado,Non selezionato,Ikke valgt,選択されていない,未選中,未选中,Nie zaznaczone,
Transform,226,Transform,트랜스폼,Transformer,Verwandeln,Transformar,Trasformare,Transform,変換,轉變,转变,Przekształcać,
Curve,227,Curve,커브,Courbe,Kurve,Curva,Curva,Kurve,曲線,曲線,曲线,Krzywa,
ControlParameterValue,228,Control Parameter Value,컨트롤 파라미터 값,Valeur du paramètre de contrôle,Regelparameter Wert,Valor del parámetro de control,Valore del Parametro,Kontrolparameterværdi,制御パラメータ値,控制參數值,控制参数值,Kontroluj wartość parametru,
MorphModifierValue,229,Morph Modifier Value,모핑 모디파이어 값,Valeur de Morph,Morph Modifier Wert,Valor modificador de Morph,Valore di Morph Modifier,Morph modifier værdi,モーフモディファイアの値,變形修飾值,变形修饰值,Wartość modyfikatora Morph,
TransformModifierValue,230,Transform Modifier Value,트랜스폼 모디파이어 값,Valeur de Transform,Umwandlungsmodifikatorwert,Valor modificador de Transform,Valore di Transform Modifier,Umwandlungsmodifikatorwert,変形モディファイアの値,變換修飾符值,变换修饰符值,Wartość modyfikatora Transform,
Color2X,231,Color (2X),색상 (2X),Couleur (2X),Farbe (2X),Color (2X),Colore (2X),Farve (2X),カラー(2X),顏色(2X),颜色(2X),Kolor (2X),
IsVisible,232,Is Visible,보이기,Est visible,Ist sichtbar,Es visible,È visibile,Er synlig,見える,是可見的,是可见的,Widoczne,
ColorPropertyIsDisabled,233,Color Property is Disabled,색상 속성이 비활성화됨,Couleur est désactivée,Farbeigenschaft deaktiviert,Color está desactivada,Colore è disabilitato,Farveegenskab er deaktiveret,色属性が無効,顏色屬性已禁用,颜色属性已禁用,Właściwość koloru jest wyłączona,
Prev,234,Prev,이전,Prev,Prev,Prev,Prev,Prev,前,前,前,Prev,
Next,235,Next,다음,Next,Next,Next,Next,Next,次,後,后,Next,
Current,236,Current,현재,Actuel,Aktueller,Corriente,Attuale,Aktuel,現在,現在,现在,Obecny,
KeyframeIsNotLinked,237,Keyframe is not linked,키프레임이 연결되지 않음,Image clé n'est pas liée,Nicht verknüpft,No está vinculado,Non collegato,Keyframe er ikke forbundet,キーフレームがリンクされていません,關鍵幀未鏈接,关键帧未链接,Klatka kluczowa jest odłączona,
ResetSmoothSetting,238,Reset Smooth Setting,커브 설정 초기화,Réinitialiser lisse,Glatte zurücksetzen,Restablecer suave,Reimposta liscio,Nulstil glat indstilling,スムース設定をリセット,重置平滑設置,重置平滑设置,Zresetuj ustawienia krzywej,
CopyCurveToAllKeyframes,239,Copy Curve to All Keyframes,커브 설정을 모든 키프레임에 복사,Copiez la courbe sur toutes,Kopieren Sie die Kurve in alle,Copiar curva a todos,Copia curva su tutte le chiavi,Kopier kurve til alle keyframes,曲線をすべてにコピーする,將曲線複製到所有關鍵幀,将曲线复制到所有关键帧,Skopiuj krzywą do wszystkich,
PoseExportImportLabel,240,Pose Export / Import,포즈 내보내기 / 가져오기,Pose Exporter / Importer,Pose Export / Import,Pose Exportar / Importar,Posa Esporta / Importa,Pose Eksport / Import,ポーズエクスポート/インポート,姿勢導出/導入,姿势导出/导入,Pose Eksport / Import,
RemoveKeyframe,241,Remove Keyframe,키프레임 제거,Supprimer image clé,Entferne Schlüsselbild,Eliminar fotograma clave,Rimuovi fotogramma chiave ,Fjern Keyframe,キーフレームを削除,刪除關鍵幀,删除关键帧,Usuń klatkę kluczową,
NumKeyframesSelected,242,{0} Keyframes Selected,{0}개의 키프레임 선택됨,{0} Images clés,{0} Schlüsselbilder,{0} fotogramas clave,{0} Fotogrammi chiave,{0} keyframes valgt,{0}キーフレームが選択されました,選擇了{0}關鍵幀,选择了{0}关键帧,{0} Wybrane klatki kluczowe,
RemoveKeyframes,243,Remove Keyframes,키프레임들 제거,Supprimer images clés,Entfernen Schlüsselbildern,Eliminar fotogramas clave,Rimuovi fotogrammi chiave,Fjern Keyframes,キーフレームを削除,刪除關鍵幀,删除关键帧,Usuń klatki kluczowe,
RemoveNumKeyframes,244,Remove {0} Keyframes,{0}개의 키프레임 제거,Supprimer {0} images clés,Entfernen {0} Schlüsselbildern ,Eliminar {0} fotogramas clave,Rimuovi {0} fotogrammi chiave,Fjern {0} keyframes,{0}キーフレームを削除,刪除{0}關鍵幀,删除{0}关键帧,Usuń klatki kluczowe {0},
LayerGUIColor,245,Layer GUI Color,레이어 GUI 색상,Couleur de la couche,Farbe der Ebene,Color de GUI de capa,Strato GUI Colore,Lag GUI Farve,レイヤGUIの色,圖層GUI顏色,图层GUI颜色,Kolor GUI warstwy,
Keyframe,246,Keyframe,키프레임,Image clé,Schlüsselbild,Fotograma clave,Fotogramma chiave ,Keyframe,キーフレーム,關鍵幀,关键帧,Klatka kluczowa,
Keyframes,247,Keyframes,키프레임,Images clés,Schlüsselbildern,Fotogramas clave,Fotogrammi chiave,Keyframes,キーフレーム,關鍵幀,关键帧,Klatki kluczowe,
SelectMeshGroup,248,Select Mesh Group,메시 그룹 선택,Sélectionner groupe de maillages,Wählen Netzgruppe,Elige grupo de malla,Scegli gruppo di maglie,Vælg maskegruppe,メッシュグループの選択,選擇網格劃分組,选择网格划分组,Wybierz grupę siatki,
TargetMeshGroup,249,Target Mesh Group,대상 메시 그룹,Groupe de maillage cible,Ziel Netzgruppe,Grupo de malla objetivo,Gruppo di maglie,Mål maskegruppe,ターゲットメッシュグループ,目標網格劃分組,目标网格划分组,Cel grupy oczek siatki,
Duplicate,250,Duplicate,복제,Dupliquer,Duplikat,Duplicar,Duplicare,Duplikere,複製,複製,复制,Duplikować,
AddTimeline,251,Add Timeline,타임라인 추가,Ajouter Timeline,Zeitachse hinzufügen,Añadir Timeline,Aggiungi Timeline,Tilføj tidslinje,タイムラインを追加,添加時間軸,添加时间轴,Dodaj oś czasu,
RemoveAnimation,252,Remove Animation,애니메이션 제거,Supprimer animation,Entfernen Animation,Eliminar animación,Rimuovi animazione,Fjern Animation,アニメーションを削除,刪除動畫,删除动画,Usuń animację,
ReservedParameter,253,Reserved Parameter,미리 정의된 파라미터,Paramètre réservé,Reservierter Parameter,Parámetro reservado,Parametro riservato,Reserveret Parameter,予約済みパラメータ,保留參數,保留参数,Zarezerwowany parametr,
NameUnique,254,Name (Unique),이름 (중복안됨),Nom (Unique),Name (einzigartig),Nombre (único),Nome (unico),Navn (Unikt),名(ユニーク),名稱(唯一),名称(唯一),Nazwa (unikatowa),
ValueType,255,Type,타입,Type,Art,Tipo,Tipo,Type,タイプ,類型,类型,Rodzaj,
Category,256,Category,분류,Catégorie,Kategorie,Categoría,Categoria,Kategori,カテゴリー,類別,类别,Kategoria,
IconPreset,257,Icon Preset,아이콘 프리셋,Icône prédéfinie,Ikone,Preset de icono,Icona Preset,Ikon,アイコンプリセット,圖標預設,图标预设,Ikona,
Param_IntegerType,258,Integer Type,정수형 (int),Integer,Integer,Integer,Integer,Integer,整数型(int),Int類型,Int类型,Integer,
Param_FloatType,259,Float Number Type,실수형 (float),Float,Float,Float,Float,Float,実数型(float),Float類型,Float类型,Float,
Param_Vector2Type,260,Vector2 Type,벡터형 (Vector2),Vector2,Vektor2,Vector2,Vector2,Vector2,ベクトル型(Vector2),Vector2類型,Vector2类型,Vector2,
Param_DefaultValue,261,Default Value,기본값,Valeur par défaut,Standardwert,Valor por defecto,Valore di default,Standard værdi,デフォルト値,默認值,默认值,Domyślna wartość,
Param_Axis1,262,Axis 1,X 축,Axe 1,Achse 1,Eje 1,Asse 1,Akse 1,軸1,軸1,轴1,Oś 1,
Param_Axis2,263,Axis 2,Y 축,Axe 2,Achse 2,Eje 2,Asse 2,Akse 2,軸2,軸2,轴2,Oś 2,
RangeValueLabel,264,Name of Value Range,값 범위의 이름,Nom de la plage,Name Wertebereichs,Nombre del rango,Nome dell'intervallo,Navn på værdiområde,値の範囲の名前,值範圍的名稱,值范围的名称,Nazwa zakresu wartości,
SnapSize,265,Snap Size,스냅 개수,Snap,Punkt zählt,Ajustar tamaño,Dimensione snap,Point tæller,スナップサイズ,捕捉大小,捕捉大小,Rozmiar Snap,
Presets,266,Presets,프리셋,Presets,Voreinstellungen,Presets,Presets,Indstillinger,プリセット,預置,预置,Presets,
RemoveParameter,267,Remove Control Parameter,컨트롤 파라미터 삭제,Supprimer paramètre de contrôle,Entfernen Regelparameter,Eliminar parámetro de control,Rimuovi parametro di controllo,Fjern kontrolparameter,制御パラメータを削除,刪除控制參數,删除控制参数,Usuń parametr kontrolny,
ModBinding,268,Binding..,바인딩 중,Modification,Bindung..,Edición..,Rilegatura..,Bindende ..,バインド中,綁定..,绑定..,Wiążący..,
ModStartBinding,269,Start Binding,바인딩 시작,Commencez,Binden,Comenzar,Inizia Rilegatura,Start binding,バインディング開始,開始綁定,开始绑定,Rozpocznij,
ModEditing,270,Editing..,편집 중,Modification ..,Bearbeitung..,Edición..,Modifica..,Redigering ..,編集中,編輯..,编辑..,Edytuj..,
ModStartEditing,271,Start Editing,편집 시작,Commencez,Bearbeiten,Comenzar,Iniziare Modificare,Start redigering,編集開始,開始編輯,开始编辑,Rozpocznij,
ModNotEditable,272,Not Editable,편집 불가,Non modifiable,Nicht bearbeitbar,Inalterable,Non modificabile,Ikke i stand,編集不可,不可編輯,不可编辑,Niedostępne,
ModNoParam,273,<No Parameter>,<파라미터 없음>,<Aucun paramètre>,<Kein Parameter>,<Sin parámetro>,<Nessun parametro>,<Ingen parameter>,<パラメータなし>,<無參數>,<无参数>,<Brak parametru>,
ModNoKey,274,<No Key>,<키 없음>,<Aucune clé>,<Kein Schlüssel>,<Sin clave>,<Nessuna chiave>,<Ingen nøgle>,<キーなし>,<無鑰匙>,<无钥匙>,<Brak klucza>,
ModNoSelected,275,<No Selected>,<선택된 객체 없음>,<Non sélectionné>,<Nein ausgewählt>,<No seleccionado>,<Nessun selezionato>,<Ingen valgt>,<選択なし>,<未選定>,<未选定>,<Nie wybrano>,
ModSubObject,276,Sub Object,하위 객체,Sous objet,Unterobjekt,Subobjetivo,Oggetto secondario,Underobjekt,サブオブジェクト,子對象,子对象,Pod-obiekt,
MeshTransform,277,Mesh Transform,메시 트랜스폼,Maillage,Netz,Malla,Trasforma Maglia,Mesh,メッシュ,網格劃分,网格划分,Siatka,
MeshGroupTransform,278,Mesh Group Transform,메시 그룹 트랜스폼,Groupe de maillage,Netzgruppe,Grupo de malla,Trasforma Gruppo di maglie,Mesh Gruppe,メッシュグループ,網格劃分群,网格划分群,Grupa siatki,
ModSelectKeyFirst,279,<Select Key First>,<키를 먼저 선택>,<Choisissez clé>,<Schlüssel zuerst wählen>,<Seleccione tecla>,<Seleziona prima chiave>,<Vælg nøgle først>,<キーを先に選択>,<首先選擇密鑰>,<首先选择密钥>,<Najpierw wybierz klucz>,
RigBoneColor,280,Bone Color,본 색상,Couleur[]os,Knochen[]farbe,Color[]Hueso,Colore[]osso,Knogle[]farve,ボーンの色,骨色,骨色,Kolor kości,
RigPoseTest,281,Pose Test,포즈 테스트,Test[]pose,Pose[]testen,Prueba[]pose,Prova[]posa,Test[]pose,ポーズテスト,姿勢測試,姿势测试,Test[]pozie,
RigResetPose,282,Reset Pose,포즈 리셋,Réinitialiser[]pose,Zurücksetzen,Restablecer[]pose,Reimposta[]posa,Nulstil[]pose,リセット,重置姿勢,重置姿势,Zresetuj[]pozę,
PxDirection,283,Direction,방향,Direction,Richtung,Dirección,Direzione,Retning,方向,方向,方向,Kierunek,
PxPower,284,Power,세기,Puissance,Leistung,Poder,Energia,Strøm,力,功率,功率,Moc,
PxWindOn,285,Wind On,바람 켜기,Vent ON,Wind ON,Viento ON,Vento ON,Vind ON,風オン,激活風,激活风,Wiatr ON,
PxWindOff,286,Wind Off,바람 끄기,Vent OFF,Wind OFF,Viento OFF,Vento OFF,Vind OFF,風オフ,停用風,停用风,Wiatr OFF,
SetDefaultAll,287,Set Default All,모두 기본값으로,Définir par défaut tout,Setze Standard Alle,Todo por defecto,Predefinito tutto,Standard alle,すべてデフォルトに,默認全部,默认全部,Wszystkie jako domyślne,
